name,ra_deg,dec_deg,type,mag,notes
M45,56.85,24.116667,Open cluster,1.6,"Pleiades, Seven Sisters or Subaru"
M24,274.25,-18.55,Milky Way star cloud,2.5,Small Sagittarius Star Cloud IC 4715
M7,268.463333,-34.792778,Open cluster,3.3,Ptolemy's Cluster NGC 6475
M31,10.684583,41.269167,Spiral galaxy,3.4,Andromeda Galaxy NGC 224
M44,130.1,19.983333,Open cluster,3.7,Beehive Cluster or Praesepe NGC 2632
NGC 2264,100.255,9.896,Open Cluster,3.9,Christmas Tree Cone region
NGC 7000,314,44.5,Emission Nebula,4,North America Nebula (widefield)
M42,83.822083,-5.391111,H II region nebula,4,Great Orion Nebula NGC 1976
M6,265.025,-32.216667,Open cluster,4.2,Butterfly Cluster NGC 6405
NGC 869,34.78,57.147,Open Cluster,4.3,Double Cluster component
NGC 884,34.8,57.117,Open Cluster,4.4,Double Cluster component
M47,114.15,-14.5,Open cluster,4.4,NGC 2422
M41,101.5,-20.766667,Open cluster,4.5,Little Beehive Cluster NGC 2287
M8,270.904167,-24.386667,Nebula with cluster,4.6,Lagoon Nebula NGC 6523
M25,277.9,-19.25,Open cluster,4.6,IC 4725
M39,322.925,48.433333,Open cluster,4.6,Pyramid Cluster NGC 7092
NGC 6960,309.392,30.731,Supernova Remnant,5,Veil West (Witch's Broom)
M22,279.099583,-23.90475,Globular cluster,5.1,Great Sagittarius Cluster NGC 6656
M35,92.275,24.35,Open cluster,5.3,Shoe-Buckle Cluster NGC 2168
M23,269.2,-19.016667,Open cluster,5.5,NGC 6494
M34,40.525,42.766667,Open cluster,5.5,Spiral Cluster NGC 1039
M48,123.425,-5.75,Open cluster,5.5,NGC 2548
M4,245.896667,-26.52575,Globular cluster,5.6,Spider Globular Cluster NGC 6121
M5,229.638333,2.081028,Globular cluster,5.6,Rose Cluster NGC 5904
NGC 752,29.287,37.789,Open Cluster,5.7,Sprawling cluster in Andromeda
M33,23.458333,30.660194,Spiral galaxy,5.7,Triangulum/Pinwheel Galaxy NGC 598
M13,250.421667,36.459861,Globular cluster,5.8,Great Hercules Cluster NGC 6205
M11,282.775,-6.266667,Open cluster,5.8,Wild Duck Cluster NGC 6705
M50,105.8,-8.333333,Open cluster,5.9,Heart-Shaped Cluster NGC 2323
M17,275.108333,-16.176667,H II region nebula with cluster,6,"Omega, Swan, Horseshoe, Lobster, or Checkmark Nebula NGC 6618"
NGC 2244,97.95,4.95,Open Cluster,6,In Rosette Nebula
M46,115.45,-14.816667,Open cluster,6,NGC 2437
M93,116.15,-23.866667,Open cluster,6,Critter Cluster NGC 2447
NGC 6992,314.74,31,Supernova Remnant,6,Veil East
M67,132.825,11.816667,Open cluster,6.1,King Cobra or Golden Eye Cluster NGC 2682
M3,205.548333,28.377278,Globular cluster,6.2,NGC 5272
M15,322.492917,12.167,Globular cluster,6.2,Great Pegasus Cluster NGC 7078
M37,88.075,32.550556,Open cluster,6.2,Salt and Pepper Cluster NGC 2099
M55,294.99875,-30.96475,Globular cluster,6.3,Specter Cluster NGC 6809
M20,270.595833,-23.03,H II region nebula with cluster,6.3,Trifid Nebula NGC 6514
M36,84.05,34.134444,Open cluster,6.3,Pinwheel Cluster NGC 1960
M92,259.280833,43.135944,Globular cluster,6.4,NGC 6341
M16,274.7,-13.816667,H II region nebula with cluster,6.4,Eagle Nebula NGC 6611
NGC 457,19.863,58.303,Open Cluster,6.4,Owl/ET Cluster
M2,323.3625,-0.82325,Globular cluster,6.5,NGC 7089
M62,255.3025,-30.112361,Globular cluster,6.5,Flickering Globular NGC 6266
M21,271.15,-22.5,Open cluster,6.5,Webb's Cross Cluster NGC 6531
M10,254.287083,-4.099472,Globular cluster,6.6,NGC 6254
M12,251.809167,-1.948528,Globular cluster,6.7,NGC 6218
NGC 7789,359.287,56.734,Open Cluster,6.7,Caroline's Rose
M19,255.657083,-26.267944,Globular cluster,6.8,NGC 6273
M28,276.137083,-24.869833,Globular cluster,6.8,NGC 6626
M81,148.888333,69.065278,Spiral galaxy,6.9,Bode's Galaxy NGC 3031
NGC 253,11.888,-25.288,Galaxy,7.1,Sculptor Galaxy
NGC 663,26.585,61.214,Open Cluster,7.1,Perseus
M29,305.983333,38.523333,Open cluster,7.1,Cooling Tower Cluster NGC 6913
M30,325.092083,-23.179861,Globular cluster,7.2,Jellyfish Cluster NGC 7099
M80,244.26,-22.976083,Globular cluster,7.3,NGC 6093
M52,351.05,61.583333,Open cluster,7.3,Scorpion Cluster NGC 7654
NGC 281,13,56.6,Emission Nebula,7.4,Pacman Nebula
M38,82.175,35.855,Open cluster,7.4,Starfish Cluster NGC 1912
M103,23.3,60.7,Open cluster,7.4,NGC 581
M27,299.90125,22.721139,Planetary nebula,7.4,Dumbbell Nebula NGC 6853
IC 5070,314,44.3,Emission Nebula,7.5,Pelican Nebula (widefield)
M18,274.975,-17.133333,Open cluster,7.5,Black Swan Cluster NGC 6613
M83,204.25375,-29.865833,Barred Spiral galaxy,7.6,Southern Pinwheel Galaxy NGC 5236
M14,264.400833,-3.245917,Globular cluster,7.6,NGC 6402
M53,198.230417,18.168167,Globular cluster,7.6,NGC 5024
M54,283.76375,-30.479861,Globular cluster,7.6,NGC 6715
M69,277.84625,-32.348083,Globular cluster,7.6,NGC 6637
M9,259.799167,-18.51625,Globular cluster,7.7,NGC 6333
M79,81.044167,-24.52425,Globular cluster,7.7,NGC 1904
M68,189.866667,-26.744056,Globular cluster,7.8,NGC 4590
NGC 3242,156.19,-18.643,Planetary Nebula,7.8,Ghost of Jupiter
M70,280.803333,-32.292111,Globular cluster,7.9,NGC 6681
M107,248.132917,-13.053778,Globular cluster,7.9,Crucifix Cluster NGC 6171
M101,210.8025,54.349167,Spiral galaxy,7.9,Pinwheel Galaxy NGC 5457
M26,281.3,-9.4,Open cluster,8,NGC 6694
NGC 7009,316.045,-11.363,Planetary Nebula,8,Saturn Nebula
M104,189.9975,-11.623056,Spiral galaxy,8,Sombrero Galaxy NGC 4594
M32,10.674167,40.865278,Dwarf elliptical galaxy,8.1,Andromeda Satellite #1 NGC 221
NGC 6543,269.639,66.633,Planetary Nebula,8.1,Cat's Eye
M71,298.44375,18.779194,Globular cluster,8.2,Angelfish Cluster NGC 6838
M94,192.72125,41.120556,Spiral galaxy,8.2,Crocodile Eye or Cat's Eye Galaxy NGC 4736
M78,86.694583,0.013889,Diffuse nebula,8.3,NGC 2068
M56,289.148333,30.183472,Globular cluster,8.3,NGC 6779
M49,187.444583,8.000556,Elliptical galaxy,8.4,NGC 4472
NGC 7635,351,61.2,Emission Nebula,8.4,Bubble Nebula
IC 342,56.702,68.102,Galaxy,8.4,Hidden Galaxy
M40,185.552083,58.083056,Optical Double,8.4,Winnecke 4
M51,202.469583,47.195278,Spiral galaxy,8.4,"Whirlpool Galaxy NGC 5194, NGC 5195"
M106,184.739583,47.303889,Spiral galaxy,8.4,NGC 4258
M82,148.9675,69.679722,Starburst galaxy,8.4,Cigar Galaxy NGC 3034
M1,83.632917,22.0145,Super­nova remnant,8.4,Crab Nebula NGC 1952
M110,10.092083,41.685278,Dwarf elliptical galaxy,8.5,Andromeda Satellite #2 NGC 205
M75,301.52,-21.921167,Globular cluster,8.5,NGC 6864
M64,194.182083,21.682778,Spiral galaxy,8.5,Black Eye Galaxy NGC 4826
M87,187.705833,12.391111,Elliptical galaxy,8.6,Virgo A NGC 4486
M63,198.955417,42.029167,Spiral galaxy,8.6,Sunflower Galaxy NGC 5055
M60,190.915,11.5525,Elliptical galaxy,8.8,NGC 4649
NGC 6934,308.547,7.404,Globular Cluster,8.8,Delphinus
NGC 6826,295.67,50.525,Planetary Nebula,8.8,Blinking
M57,283.39625,33.029167,Planetary nebula,8.8,Ring Nebula NGC 6720
