name,ra_deg,dec_deg,type,mag,notes
M73[89],314.725000,-12.633333,Asterism,9.000000,— NGC 6994
M83[100],204.253750,-29.865833,Barred Spiral galaxy,7.600000,Southern Pinwheel Galaxy NGC 5236
M66[82],170.062500,12.991667,Barred Spiral galaxy,8.900000,Leo Triplet NGC 3627
M65[81],169.732917,13.092222,Barred Spiral galaxy,9.300000,Leo Triplet NGC 3623
M58[74],189.431250,11.818056,Barred Spiral galaxy,9.700000,— NGC 4579
M95[112],160.990417,11.703889,Barred Spiral galaxy,9.700000,— NGC 3351
M109[126],179.400000,53.374444,Barred Spiral galaxy,9.800000,Vacuum Cleaner Galaxy NGC 3992
M108[125],167.879167,55.674167,Barred Spiral galaxy,10.000000,Surfboard Galaxy NGC 3556
M91[108],188.860000,14.496389,Barred Spiral galaxy,10.200000,— NGC 4548
M78[95],86.694583,0.013889,Diffuse nebula,8.300000,— NGC 2068
M32[48],10.674167,40.865278,Dwarf elliptical galaxy,8.100000,Andromeda Satellite #1 NGC 221
M110[127],10.092083,41.685278,Dwarf elliptical galaxy,8.500000,Andromeda Satellite #2 NGC 205
M49[65],187.444583,8.000556,Elliptical galaxy,8.400000,— NGC 4472
M87[104],187.705833,12.391111,Elliptical galaxy,8.600000,Virgo A NGC 4486
M60[76],190.915000,11.552500,Elliptical galaxy,8.800000,— NGC 4649
M105[122],161.956667,12.581667,Elliptical galaxy,9.300000,— NGC 3379
M59[75],190.509583,11.646944,Elliptical galaxy,9.600000,— NGC 4621
M89[106],188.915833,12.556389,Elliptical galaxy,9.800000,— NGC 4552
NGC 7000,314.000000,44.500000,Emission Nebula,4.000000,North America Nebula (widefield)
NGC 281,13.000000,56.600000,Emission Nebula,7.400000,Pacman Nebula
IC 5070,314.000000,44.300000,Emission Nebula,7.500000,Pelican Nebula (widefield)
NGC 7635,351.000000,61.200000,Emission Nebula,8.400000,Bubble Nebula
NGC 253,11.888000,-25.288000,Galaxy,7.100000,Sculptor Galaxy
IC 342,56.702000,68.102000,Galaxy,8.400000,Hidden Galaxy
NGC 2403,114.214000,65.601000,Galaxy,8.900000,Camelopardalis
NGC 7331,339.267000,34.415000,Galaxy,9.400000,Deer Lick
NGC 3628,170.067000,13.588000,Galaxy,9.500000,Hamburger (Leo Triplet)
NGC 6946,308.717000,60.153000,Galaxy,9.600000,Fireworks Galaxy
NGC 2683,133.904000,33.422000,Galaxy,9.700000,UFO Galaxy
NGC 4631,190.533000,32.541000,Galaxy,9.800000,Whale Galaxy
NGC 4216,183.989000,13.155000,Galaxy,10.000000,Virgo Cluster
NGC 4565,189.086000,25.987000,Galaxy,10.400000,Needle Galaxy
NGC 7814,0.877000,16.146000,Galaxy,10.600000,Little Sombrero
NGC 925,36.822000,33.579000,Galaxy,10.700000,Triangulum region
NGC 891,35.638000,42.349000,Galaxy,10.800000,"Edge-on, Andromeda"
NGC 2905,143.050000,21.500000,Galaxy,12.000000,Knot in NGC 2903 arm
NGC 6934,308.547000,7.404000,Globular Cluster,8.800000,Delphinus
NGC 5466,211.363000,28.534000,Globular Cluster,9.100000,High latitude
NGC 6229,251.744000,47.528000,Globular Cluster,9.400000,Hercules
NGC 2419,114.535000,38.881000,Globular Cluster,10.300000,Intergalactic Wanderer
